id,post_id,source,content,ad_score,ad_hits
636,16,bili,那么问题来了，请问我要到哪里搞到同款呢？？？ https://b23.tv/mall-FzufNmdh5-s987,3,url
675,30,bili,https://b23.tv/cm-xst-0-3IhY9 视频内容有限，等不及更新的快去喜马拉雅听后续～,3,url
697,38,bili,"刚从西安回来，这份攻略比较适合男生，
女孩子去玩的话，晚上基本都是不夜城、芙蓉园、兴庆宫等等打卡拍照
选衣服一小时，妆造2小时，走走拍拍又是2小时，吃个夜宵就可以回酒店了。。。
然后是11月份没有长恨歌，没有长恨歌，没有长恨歌。
官方升级到月底才会开（据说桌垫会有加热）
下面是我6天自由行的一些个人经验：
1.骊山园比1,2,3号坑更精彩一定不要错过
2.陕历博的门票现在很好预约，时间到了就去美团上点，会卡住，这个时候你不要慌，也不要停，就不停的点，过一会你就会跳出预约成功的界面了{最重要的，事先找个需要门票的公园什么的，把自己的信息输入进去，已经约过任意一个需要身份证门票的宝子可以忽略 }
3.珍宝馆一定要去，壁画馆看个人情况，270算顶格门票了，我去看了，很震撼，下次去的话应该还会继续再看一下。
4.不推荐碑林博物馆，除非是书法爱好者或者碑石爱好者
5.西安的食物份量很大，很大，很大。
6.西安的食物热量很大，很大，很大。
7.钟楼上面不好玩，不如晚上做背景拍照，就在钟楼饭店前面，晚上都是一堆堆汉服小姐姐。
8.汉服妆造拍摄水很深，不建议随便找399以下或者999以上的，我踩过坑，后来意外找到另一家宝藏，有兴趣的宝子可以私信我，这里不说了，省的说我广告。
9.华清池本身没什么好玩的，只是3个池子，但是华清御汤酒店的温泉可以去体会一下（据说其他酒店的温泉都不是山上的，就这家是），酒店住宿很贵1xxx只是最普通的，带私汤的都是1700+，但是私汤不仅仅就是个小池子，时间也是有限制的，完全不如宝积池（室外）来的带感，不仅有古朴的建筑，身后就是气势磅礴的骊山，强烈推荐买温泉票进去（某鱼可以购买190/人，只可以进去一次，但是时间不限制，有免费水果茶饮，池子很舒服，穿上美美的泳衣一边泡温泉，一边打卡，我觉得很值，很值，很值）
10.洒金桥踩雷概率比回民街要低得多。
11.高家大院的皮影戏可以去看看，最后一场是晚上10点，没记错的话15分钟一场。
12.淡季去西安很划算，不仅人少酒店还很便宜（忽略上面说那个XXX）
13.我上周五飞回的杭州，然后周六大雪，我哭死~~",6,"kw:广告,私信,宝子"
1475,38,bili,"刚从西安回来，这份攻略比较适合男生，
女孩子去玩的话，晚上基本都是不夜城、芙蓉园、兴庆宫等等打卡拍照
选衣服一小时，妆造2小时，走走拍拍又是2小时，吃个夜宵就可以回酒店了。。。
然后是11月份没有长恨歌，没有长恨歌，没有长恨歌。
官方升级到月底才会开（据说桌垫会有加热）
下面是我6天自由行的一些个人经验：
1.骊山园比1,2,3号坑更精彩一定不要错过
2.陕历博的门票现在很好预约，时间到了就去美团上点，会卡住，这个时候你不要慌，也不要停，就不停的点，过一会你就会跳出预约成功的界面了{最重要的，事先找个需要门票的公园什么的，把自己的信息输入进去，已经约过任意一个需要身份证门票的宝子可以忽略 }
3.珍宝馆一定要去，壁画馆看个人情况，270算顶格门票了，我去看了，很震撼，下次去的话应该还会继续再看一下。
4.不推荐碑林博物馆，除非是书法爱好者或者碑石爱好者
5.西安的食物份量很大，很大，很大。
6.西安的食物热量很大，很大，很大。
7.钟楼上面不好玩，不如晚上做背景拍照，就在钟楼饭店前面，晚上都是一堆堆汉服小姐姐。
8.汉服妆造拍摄水很深，不建议随便找399以下或者999以上的，我踩过坑，后来意外找到另一家宝藏，有兴趣的宝子可以私信我，这里不说了，省的说我广告。
9.华清池本身没什么好玩的，只是3个池子，但是华清御汤酒店的温泉可以去体会一下（据说其他酒店的温泉都不是山上的，就这家是），酒店住宿很贵1xxx只是最普通的，带私汤的都是1700+，但是私汤不仅仅就是个小池子，时间也是有限制的，完全不如宝积池（室外）来的带感，不仅有古朴的建筑，身后就是气势磅礴的骊山，强烈推荐买温泉票进去（某鱼可以购买190/人，只可以进去一次，但是时间不限制，有免费水果茶饮，池子很舒服，穿上美美的泳衣一边泡温泉，一边打卡，我觉得很值，很值，很值）
10.洒金桥踩雷概率比回民街要低得多。
11.高家大院的皮影戏可以去看看，最后一场是晚上10点，没记错的话15分钟一场。
12.淡季去西安很划算，不仅人少酒店还很便宜（忽略上面说那个XXX）
13.我上周五飞回的杭州，然后周六大雪，我哭死~~",6,"kw:广告,私信,宝子"
1752,67,bili,"图文版已上线→https://www.bilibili.com/read/cv40498790 
信息更新：陕西历史博物馆1月14日起，实行提前5天放票制度（例如，1月14日放1月19日门票），本馆放票时间为17:00，秦汉馆放票时间为17:30。",3,url
2021,38,bili,"刚从西安回来，这份攻略比较适合男生，
女孩子去玩的话，晚上基本都是不夜城、芙蓉园、兴庆宫等等打卡拍照
选衣服一小时，妆造2小时，走走拍拍又是2小时，吃个夜宵就可以回酒店了。。。
然后是11月份没有长恨歌，没有长恨歌，没有长恨歌。
官方升级到月底才会开（据说桌垫会有加热）
下面是我6天自由行的一些个人经验：
1.骊山园比1,2,3号坑更精彩一定不要错过
2.陕历博的门票现在很好预约，时间到了就去美团上点，会卡住，这个时候你不要慌，也不要停，就不停的点，过一会你就会跳出预约成功的界面了{最重要的，事先找个需要门票的公园什么的，把自己的信息输入进去，已经约过任意一个需要身份证门票的宝子可以忽略 }
3.珍宝馆一定要去，壁画馆看个人情况，270算顶格门票了，我去看了，很震撼，下次去的话应该还会继续再看一下。
4.不推荐碑林博物馆，除非是书法爱好者或者碑石爱好者
5.西安的食物份量很大，很大，很大。
6.西安的食物热量很大，很大，很大。
7.钟楼上面不好玩，不如晚上做背景拍照，就在钟楼饭店前面，晚上都是一堆堆汉服小姐姐。
8.汉服妆造拍摄水很深，不建议随便找399以下或者999以上的，我踩过坑，后来意外找到另一家宝藏，有兴趣的宝子可以私信我，这里不说了，省的说我广告。
9.华清池本身没什么好玩的，只是3个池子，但是华清御汤酒店的温泉可以去体会一下（据说其他酒店的温泉都不是山上的，就这家是），酒店住宿很贵1xxx只是最普通的，带私汤的都是1700+，但是私汤不仅仅就是个小池子，时间也是有限制的，完全不如宝积池（室外）来的带感，不仅有古朴的建筑，身后就是气势磅礴的骊山，强烈推荐买温泉票进去（某鱼可以购买190/人，只可以进去一次，但是时间不限制，有免费水果茶饮，池子很舒服，穿上美美的泳衣一边泡温泉，一边打卡，我觉得很值，很值，很值）
10.洒金桥踩雷概率比回民街要低得多。
11.高家大院的皮影戏可以去看看，最后一场是晚上10点，没记错的话15分钟一场。
12.淡季去西安很划算，不仅人少酒店还很便宜（忽略上面说那个XXX）
13.我上周五飞回的杭州，然后周六大雪，我哭死~~",6,"kw:广告,私信,宝子"
4190,38,bili,"写给和我一样的穷比平价档住宿攻略：
我选的是大差市站新七天酒店（西安第四医院），先来说大差市站的优势：1.离钟楼只有一站 2.本身是四号线的换乘站，四号线和二号线能直达西安北站然后到机场，比三号线节省20分钟左右 3.大差市站离大雁塔不远且为一条直线，4公里左右，骑车舒服，且本身离回坊也只有三站（广济街站），然后是新七天的优势：1.离地铁口500-600米左右，沿途全是本地平价饭店，且清真餐馆不少，特色菜大多都能就地吃到 2.新装修（23年），设备新且配有公共洗衣机、烘干机、微波炉，非常方便 3.所在街区比较安静，当然也可能是本身隔音好 4.也许是所有酒店的优点，厕所干净且干湿分离，空间适中（我对这个看得比较重）5.七天本身作为经济型酒店的优势，淡季120一晚
更多行程或者景点相关的可以参考下https://www.bilibili.com/video/BV1kN411G7fj/?spm_id_from=333.1007.top_right_bar_window_history.content.click&vd_source=aec4c691d45d2af1d239cf87b8858659 这个视频的攻略，我也在下面评论区说了我第一天是怎么走的然后改进了一点流程",3,url
4345,63,bili,【换上汉服闪现古城西安大唐不夜城、长安十二时辰，感受盛世大唐的魅力，生活记录vlog，佳能M6Ⅱ代，15-45镜头，-哔哩哔哩】 https://b23.tv/267vV2U,3,url
4351,63,bili,【铁头惩恶扬善帮西安不夜城演员讨薪-哔哩哔哩】 https://b23.tv/Ewr3xEq,3,url
4488,68,bili,关注老西一段时间了，很喜欢老西做的系列视频。作为一个小寨土著，之前在知乎上写过一个关于西安旅游的回答，如果大家有朋友来西安玩的话可以直接拿去用（西安有哪些值得玩的地方？有哪些不能错过的特色美食？ https://www.zhihu.com/question/19863530/answer/70718871）。虽然身居海外，但是真的很想念西安[脱单doge],3,url
